PassengerId,Name,Age,Sex,Pclass,Fare,Embarked,Survived,Age_Group,Fare_Category,Survival_Status
283,Emma Smith,1,female,2,206.36,Q,0,Child,High,Not Survived
284,Alex Taylor,40,male,1,479.22,S,1,Adult,Very High,Survived
285,Sophia Taylor,65,female,2,269.395,S,0,Senior,High,Not Survived
286,David Brown,40,male,1,131.76,S,0,Adult,Medium,Not Survived
287,John Brown,40,female,2,271.52,S,1,Adult,High,Survived
288,Sophia Brown,40,female,2,269.395,Q,1,Adult,High,Survived
289,Sara Smith,75,female,1,495.18,S,1,Senior,Very High,Survived
290,Sophia Taylor,15,female,3,269.395,S,1,Teen,High,Survived
291,Chris Brown,40,female,1,335.07,Q,0,Adult,Very High,Not Survived
292,John Smith,40,female,2,451.4,C,1,Adult,Very High,Survived
293,Mary Taylor,34,female,3,269.395,C,1,Adult,High,Survived
294,David Smith,40,female,2,269.395,Q,1,Adult,High,Survived
295,Alex Smith,20,female,3,489.54,S,1,Adult,Very High,Survived
296,John Brown,40,male,2,269.395,C,0,Adult,High,Not Survived
297,Sara Taylor,40,male,2,164.72,C,1,Adult,High,Survived
298,Sara Brown,40,female,3,83.63,C,0,Adult,Medium,Not Survived
299,Chris Smith,74,female,3,269.395,Q,0,Senior,High,Not Survived
300,John Smith,40,female,1,269.395,C,1,Adult,High,Survived
301,David Taylor,39,female,2,173.24,S,1,Adult,High,Survived
302,Sophia Smith,62,female,2,275.18,S,1,Senior,High,Survived
303,Sophia Taylor,4,male,1,269.395,S,0,Child,High,Not Survived
304,Chris Brown,40,male,1,262.16,S,1,Adult,High,Survived
305,Alex Smith,40,male,2,31.02,S,1,Adult,Low,Survived
306,Mary Taylor,15,male,1,269.395,C,0,Teen,High,Not Survived
307,Mary Smith,40,male,2,269.395,Q,0,Adult,High,Not Survived
308,David Taylor,71,female,2,269.395,C,1,Senior,High,Survived
309,Sara Taylor,40,male,1,36.02,S,0,Adult,Low,Not Survived
310,Sophia Smith,50,female,3,371.19,S,0,Adult,Very High,Not Survived
311,Sara Smith,40,female,1,269.395,S,0,Adult,High,Not Survived
312,Alex Brown,51,female,2,337.0,S,1,Adult,Very High,Survived
313,John Brown,69,female,3,269.395,C,0,Senior,High,Not Survived
314,John Smith,22,male,3,269.395,C,0,Adult,High,Not Survived
315,Alex Smith,40,female,2,269.395,S,0,Adult,High,Not Survived
316,Sara Smith,12,female,3,247.36,Q,1,Child,High,Survived
317,David Smith,9,male,1,269.395,S,1,Child,High,Survived
318,Mary Brown,52,male,3,269.395,S,0,Adult,High,Not Survived
319,Chris Smith,52,female,2,269.395,C,0,Adult,High,Not Survived
320,Sara Brown,41,female,3,269.395,Q,1,Adult,High,Survived
321,Sophia Smith,40,female,3,209.27,Q,1,Adult,High,Survived
322,Alex Brown,6,female,2,269.395,S,0,Child,High,Not Survived
323,John Brown,49,female,1,85.64,S,1,Adult,Medium,Survived
324,Alex Brown,40,female,2,472.54,Q,1,Adult,Very High,Survived
325,Mary Taylor,79,male,3,159.43,S,0,Senior,High,Not Survived
326,Alex Brown,40,male,2,63.62,C,0,Adult,Medium,Not Survived
327,David Smith,40,female,2,269.395,C,0,Adult,High,Not Survived
328,David Brown,68,female,2,310.76,C,1,Senior,Very High,Survived
329,Mary Taylor,40,female,2,499.0,S,1,Adult,Very High,Survived
330,Emma Smith,78,male,3,269.395,S,1,Senior,High,Survived
331,David Brown,40,female,1,422.33,Q,1,Adult,Very High,Survived
332,Mary Taylor,40,female,3,269.395,Q,0,Adult,High,Not Survived
333,Alex Smith,40,male,1,269.395,C,0,Adult,High,Not Survived
334,David Smith,14,female,1,269.395,Q,1,Teen,High,Survived
335,Chris Taylor,21,male,3,269.395,C,0,Adult,High,Not Survived
336,Alex Smith,40,female,2,269.395,C,0,Adult,High,Not Survived
337,Mary Taylor,40,female,2,269.395,C,0,Adult,High,Not Survived
338,Chris Brown,40,female,2,269.395,C,1,Adult,High,Survived
339,Sara Taylor,64,female,3,269.395,C,0,Senior,High,Not Survived
340,Alex Brown,32,female,3,180.14,S,0,Adult,High,Not Survived
341,Alex Brown,40,male,1,269.395,C,1,Adult,High,Survived
342,Alex Smith,40,female,3,108.02,Q,1,Adult,Medium,Survived
343,David Taylor,40,female,3,240.9,C,0,Adult,High,Not Survived
344,Chris Brown,40,male,2,456.1,S,0,Adult,Very High,Not Survived
345,Sophia Brown,80,male,1,269.395,S,1,Senior,High,Survived
346,Chris Brown,45,female,1,376.75,S,1,Adult,Very High,Survived
347,Sophia Brown,40,female,2,269.395,C,1,Adult,High,Survived
348,Emma Taylor,4,female,2,269.395,Q,0,Child,High,Not Survived
349,Emma Taylor,40,male,3,455.2,C,0,Adult,Very High,Not Survived
350,Sara Brown,40,female,2,269.395,S,1,Adult,High,Survived
351,Emma Taylor,79,female,3,269.395,S,0,Senior,High,Not Survived
352,David Brown,40,male,2,476.92,Q,1,Adult,Very High,Survived
353,Emma Smith,40,female,2,269.395,S,0,Adult,High,Not Survived
354,Chris Smith,40,female,2,291.99,Q,0,Adult,High,Not Survived
355,Emma Brown,75,female,2,269.395,S,1,Senior,High,Survived
356,John Brown,40,female,3,269.395,Q,1,Adult,High,Survived
357,Sophia Taylor,40,female,3,269.395,Q,1,Adult,High,Survived
358,Emma Smith,4,female,3,269.395,S,1,Child,High,Survived
359,Emma Brown,40,male,3,339.0,S,1,Adult,Very High,Survived
360,David Taylor,41,female,2,269.395,C,1,Adult,High,Survived
361,Chris Taylor,51,male,3,269.395,C,1,Adult,High,Survived
362,Mary Smith,44,male,2,88.71,C,0,Adult,Medium,Not Survived
363,Chris Taylor,40,female,2,249.25,Q,0,Adult,High,Not Survived
364,Sophia Brown,40,male,1,269.395,S,0,Adult,High,Not Survived
365,Emma Taylor,40,male,3,464.9,C,0,Adult,Very High,Not Survived
366,John Smith,17,female,3,277.2,S,0,Teen,High,Not Survived
367,David Brown,40,female,2,407.78,Q,0,Adult,Very High,Not Survived
368,John Taylor,5,female,1,269.395,Q,1,Child,High,Survived
369,David Smith,70,female,3,269.395,Q,1,Senior,High,Survived
370,Alex Brown,25,female,1,269.395,S,0,Adult,High,Not Survived
371,Chris Smith,40,female,2,269.395,C,1,Adult,High,Survived
372,Chris Taylor,40,female,3,259.78,C,1,Adult,High,Survived
373,John Taylor,38,male,1,269.395,Q,1,Adult,High,Survived
374,David Smith,6,male,1,269.395,S,0,Child,High,Not Survived
375,Chris Brown,40,female,2,269.395,S,0,Adult,High,Not Survived
376,Alex Brown,48,female,3,269.395,Q,0,Adult,High,Not Survived
377,Emma Smith,40,male,2,269.395,C,1,Adult,High,Survived
378,John Brown,19,female,1,269.395,Q,0,Adult,High,Not Survived
379,Emma Taylor,40,female,2,269.395,S,0,Adult,High,Not Survived
380,David Smith,72,female,2,200.0,Q,1,Senior,High,Survived
381,Emma Brown,62,female,3,269.395,C,0,Senior,High,Not Survived
382,Chris Smith,40,female,2,269.395,C,0,Adult,High,Not Survived
383,Mary Smith,64,female,3,331.05,Q,0,Senior,Very High,Not Survived
384,Sara Taylor,34,female,3,28.02,S,0,Adult,Low,Not Survived
385,Chris Smith,40,female,1,262.05,C,0,Adult,High,Not Survived
386,Alex Smith,38,male,2,269.395,S,0,Adult,High,Not Survived
387,Chris Brown,72,female,2,225.45,C,0,Senior,High,Not Survived
388,Sophia Taylor,40,female,3,269.395,Q,0,Adult,High,Not Survived
389,Chris Taylor,13,female,2,269.395,S,0,Teen,High,Not Survived
390,Emma Smith,40,female,2,217.07,S,1,Adult,High,Survived
391,John Brown,37,female,2,269.395,S,1,Adult,High,Survived
392,John Smith,39,female,3,269.395,S,1,Adult,High,Survived
393,Emma Taylor,24,female,3,169.68,Q,0,Adult,High,Not Survived
394,Mary Taylor,74,male,1,269.395,S,0,Senior,High,Not Survived
395,Sophia Smith,40,female,3,382.52,S,0,Adult,Very High,Not Survived
396,John Brown,21,female,3,269.395,S,1,Adult,High,Survived
397,Sara Smith,40,female,3,269.395,S,1,Adult,High,Survived
398,Emma Taylor,40,male,1,53.62,S,1,Adult,Medium,Survived
399,Alex Taylor,18,male,1,269.395,S,0,Teen,High,Not Survived
